Name,,Analytical Quarterback Score (AQS),Comp. % Over Expected,Hero Throw %,Turnover Worthy Throw %,Pressure Sack Rate,Drop %,Rush YPG,Adj. Comp %,Pass TD/G,Rush TD/G,Fum/G,Int/G
Josh Allen,,100,16.2,100,76.5,97.1,75,82.4,19.1,75,94.1,89.7,83.8
Lamar Jackson,,97.1,88.2,82.4,97.1,88.2,67.6,100,52.9,95.6,26.5,17.6,91.2
Joe Burrow,,94.1,100,86.8,92.6,38.2,17.6,35.3,97.1,100,58.8,63.2,66.2
Jared Goff,,91.2,73.5,73.5,79.4,58.8,97.1,11.8,85.3,91.2,26.5,89.7,36.8
Justin Herbert,,88.2,85.3,91.2,92.6,17.6,23.5,58.8,58.8,58.8,58.8,63.2,94.1
Derek Carr,,85.3,70.6,51.5,72.1,91.2,89.7,29.4,61.8,67.6,26.5,69.1,72.1
Russell Wilson,,82.4,61.8,86.8,85.3,26.5,63.2,47.1,70.6,61.8,72.1,41.2,76.5
Kyler Murray,,79.4,50,51.5,72.1,76.5,85.3,88.2,55.9,45.6,58.8,30.9,54.4
Jayden Daniels,,76.5,66.2,39.7,82.4,8.8,58.8,97.1,76.5,64.7,58.8,48.5,66.2
Patrick Mahomes,,73.5,47.1,16.2,57.4,64.7,52.9,61.8,79.4,70.6,85.3,76.5,50
Jalen Hurts,,70.6,97.1,29.4,44.1,23.5,89.7,91.2,89.7,41.2,26.5,26.5,88.2
Bo Nix,,67.6,44.1,23.5,48.5,82.4,45.6,70.6,50,82.4,80.9,79.4,36.8
Brock Purdy,,64.7,79.4,45.6,41.2,73.5,35.3,64.7,47.1,55.9,88.2,55.9,22.1
Bryce Young,,61.8,23.5,94.1,57.4,67.6,30.9,55.9,11.8,20.6,100,73.5,58.8
Geno Smith,,58.8,91.2,58.8,14.7,14.7,80.9,52.9,94.1,45.6,80.9,30.9,17.6
Sam Darnold,,55.9,94.1,76.5,11.8,29.4,63.2,41.2,64.7,88.2,26.5,48.5,36.8
Justin Fields,,52.9,41.2,5.9,64.7,55.9,70.6,79.4,38.2,2.9,97.1,11.8,97.1
Drake Maye,,50,52.9,55.9,19.1,50,52.9,85.3,67.6,32.4,91.2,20.6,26.5
Tua Tagovailoa,,47.1,76.5,10.3,48.5,44.1,38.2,14.7,100,85.3,26.5,23.5,61.8
Baker Mayfield,,44.1,82.4,26.5,36.8,11.8,20.6,67.6,89.7,95.6,58.8,5.9,14.7
Matthew Stafford,,41.2,32.4,64.7,30.9,61.8,75,8.8,26.5,50,26.5,58.8,72.1
Caleb Williams,,38.2,36.8,35.3,67.6,2.9,52.9,76.5,29.4,36.8,26.5,48.5,83.8
Aaron Rodgers,,35.3,5.9,64.7,88.2,35.3,14.7,23.5,14.7,75,26.5,89.7,54.4
Daniel Jones,,32.4,66.2,10.3,36.8,41.2,2.9,73.5,82.4,10.3,26.5,89.7,45.6
Jordan Love,,29.4,58.8,32.4,30.9,94.1,5.9,17.6,41.2,79.4,26.5,36.8,29.4
Trevor Lawrence,,26.5,8.8,64.7,23.5,52.9,11.8,38.2,5.9,29.4,76.5,89.7,45.6
C.J. Stroud,,23.5,26.5,70.6,57.4,32.4,41.2,44.1,23.5,36.8,26.5,48.5,36.8
Gardner Minshew,,20.6,36.8,2.9,57.4,20.6,94.1,20.6,73.5,14.7,26.5,36.8,8.8
Kirk Cousins,,17.6,55.9,45.6,8.8,47.1,80.9,2.9,44.1,52.9,26.5,14.7,0
Mac Jones,,14.7,11.8,20.6,26.5,79.4,45.6,32.4,33.8,10.3,26.5,69.1,22.1
Anthony Richardson,,11.8,2.9,97.1,1.5,85.3,8.8,94.1,2.9,5.9,72.1,2.9,2.9
Jameis Winston,,8.8,29.4,79.4,1.5,5.9,30.9,26.5,8.8,25,67.6,89.7,8.8
Cooper Rush,,5.9,20.6,16.2,19.1,70.6,0,5.9,33.8,17.6,26.5,0,79.4
Will Levis,,2.9,16.2,39.7,5.9,0,26.5,50,19.1,25,26.5,8.8,8.8